Label,Height,Dim
0,0,0
A1,1,58
2A1,1,92
3A1,1,112
A2,3,114
4A1,0,128
A2+A1,2,136
A2+2A1,1,146
A3,3,148
A2+3A1,1,154
2A2,2,156
2A2+A1,2,162
A3+A1,2,164
D4(a1),2,166
D4,4,168
2A2+2A1,1,168
A3+2A1,3,172
D4(a1)+A1,1,176
A3+A2,2,178
A4,4,180
A3+A2+A1,2,182
D4+A1,5,184
D4(a1)+A2,0,184
A4+A1,3,206
2A3,2,188
D5(a1),4,190
A4+2A1,2,192
A4+A2,2,194
A5,4,196
D5(a1)+A1,3,196
A4+A2+A1,4,196
D4+A2,2,198
E6(a3),4,198
D5,6,200
A4+A3,2,200
A5+A1,3,202
D5(a1)+A2,4,204
D6(a2),2,204
E6(a3)+A1,3,206
E7(a5),2,208
D5+A1,5,208
E8(a7),2,208
A6,5,210
D6(a1),4,210
A6+A1,3,212
E7(a4),4,212
D6(a2)+A1,3,212
D5+A2,5,214
D6,6,216
E6,8,216
D7(a2),4,216
A7,4,218
E6(a1)+A1,5,218
E7(a3),6,220
E8(b6),4,220
D7(a1),6,222
E6+A1,8,222
E7(a2),6,224
E8(a6),5,224
D7,6,226
E8(b5),7,226
E7(a1),8,228
E8(a5),6,228
E8(b4),9,230
E7,10,232
E8(a4),8,232
E8(a3),12,234
E8(a2),12,236
E8(a1),14,238
E8,16,240
