n,label,dim_orbit,D,lnD
0,A4+A1,188,60,4.0943445622221
1,D5(a1),190,58,4.060443010546419
2,A4+2A1,192,56,4.02535169073515
3,A4+A2,194,54,3.9889840465642745
4,D5(a1)+A1,196,52,3.9512437185814275
5,D4+A2,198,50,3.912023005428146
6,A4+A3,200,48,3.871201010907891
7,A5+A1,202,46,3.828641396489095
8,D5(a1)+A2,204,44,3.784189633918261
9,E6(a3)+A1,206,42,3.7376696182833684
10,D5+A1,208,40,3.6888794541139363
11,A6,210,38,3.6375861597263857
12,E7(a4),212,36,3.58351893845611
13,D5+A2,214,34,3.5263605246161616
14,D7(a2),216,32,3.4657359027997265
15,A7,218,30,3.4011973816621555
16,E8(b6),220,28,3.332204510175204
17,D7(a1),222,26,3.258096538021482
18,E7(a2),224,24,3.1780538303479458
19,D7,226,22,3.091042453358316
20,E8(a5),228,20,2.995732273553991
21,E8(b4),230,18,2.8903717578961645
22,E7,232,16,2.772588722239781
23,E8(a3),234,14,2.6390573296152584
24,E8(a2),236,12,2.4849066497880004
25,E8(a1),238,10,2.302585092994046
26,E8,240,8,2.0794415416798357
