n,label,orbit_dim,D,ln_D,s_n,gamma_obs,gamma_fit,residual
0,A4+A1,188,60,4.0943445622221,1.419084183942882,0.8339999999999999,0.26251673572163337,0.5714832642783665
1,D5(a1),190,58,4.060443010546419,0.03390155167568132,0.019924042856259636,0.22579081796000966,-0.20586677510375
2,A4+2A1,192,56,4.02535169073515,0.03509131981126945,0.0206232731318896,0.19173874968889026,-0.17111547655700066
3,A4+A2,194,54,3.9889840465642745,0.036367644170875124,0.02137337275808202,0.16036053090827518,-0.13898715815019316
4,D5(a1)+A1,196,52,3.9512437185814275,0.03774032798284699,0.022180103121324946,0.1316561616181644,-0.10947605849683946
5,D4+A2,198,50,3.912023005428146,0.03922071315328157,0.02305012989360003,0.10562564181855794,-0.0825755119249579
6,A4+A3,200,48,3.871201010907891,0.04082199452025481,0.023991207720530015,0.08226897150945578,-0.05827776378892577
7,A5+A1,202,46,3.828641396489095,0.04255961441879608,0.025012412108388758,0.06158615069085793,-0.03657373858246918
8,D5(a1)+A2,204,44,3.784189633918261,0.04445176257083405,0.026124433210910743,0.043577179362764396,-0.017452746151853653
9,E6(a3)+A1,206,42,3.7376696182833684,0.04652001563489261,0.0273399516945515,0.028242057525175168,-0.0009021058306236673
10,D5+A1,208,40,3.6888794541139363,0.04879016416943216,0.028674124747305494,0.01558078517809025,0.013093339569215243
11,A6,210,38,3.6375861597263857,0.05129329438755059,0.03014522182916459,0.005593362321509643,0.024551859507654948
12,E7(a4),212,36,3.58351893845611,0.054067221270275745,0.031775466917066925,-0.0017202110445666552,0.03349567796163358
13,D5+A2,214,34,3.5263605246161616,0.05715841383994835,0.03359216999379625,-0.0063599349201386435,0.039952104913934895
14,D7(a2),216,32,3.4657359027997265,0.06062462181643502,0.035629270741658746,-0.008325809305206322,0.04395508004686507
15,A7,218,30,3.4011973816621555,0.06453852113757108,0.03792948102570124,-0.007617834199769691,0.04554731522547093
16,E8(b6),220,28,3.332204510175204,0.06899287148695166,0.04054731598814976,-0.00423600960382875,0.04478332559197851
17,D7(a1),222,26,3.258096538021482,0.07410797215372167,0.04355347587940671,0.001819664482616501,0.04173381139679021
18,E7(a2),224,24,3.1780538303479458,0.08004270767353638,0.04704133761413005,0.010549188059566061,0.036492149554563987
19,D7,226,22,3.091042453358316,0.08701137698962969,0.05113684531929924,0.02195256112701993,0.02918428419227931
20,E8(a5),228,20,2.995732273553991,0.09531017980432521,0.056014076441857255,0.03602978368497811,0.019984292756879143
21,E8(b4),230,18,2.8903717578961645,0.10536051565782634,0.061920688746231516,0.0527808557334406,0.009139833012790914
22,E7,232,16,2.772588722239781,0.11778303565638337,0.069221440735455,0.0722057772724074,-0.0029843365369524033
23,E8(a3),234,14,2.6390573296152584,0.13353139262452274,0.078476797013851,0.09430454830187851,-0.015827751288027506
24,E8(a2),236,12,2.4849066497880004,0.15415067982725805,0.09059481349353675,0.11907716882185393,-0.02848235532831718
25,E8(a1),238,10,2.302585092994046,0.18232155679395445,0.10715092176115623,0.14652363883233366,-0.03937271707117743
26,E8,240,8,2.0794415416798357,0.22314355131421015,0.13114212948168677,0.1766439583333177,-0.04550182885163093
