t,mu_GeV,g1,g2,g3,alpha1,alpha2,alpha3,alpha1_inv,alpha2_inv,alpha3_inv
0.000000000000e+00,9.120000000000e+01,4.608850181987e-01,6.520000000000e-01,1.221000000000e+00,1.690344861843e-02,3.382870146407e-02,1.186373572570e-01,5.915952552484e+01,2.956069718083e+01,8.429048177746e+00
2.397097479381e-03,9.141887752069e+01,4.608912087653e-01,6.519871099028e-01,1.220799271196e+00,1.690390271272e-02,3.382736388450e-02,1.185983531991e-01,5.915793630588e+01,2.956186605064e+01,8.431820282705e+00
4.794194958762e-03,9.163828034148e+01,4.608973995406e-01,6.519742204110e-01,1.220598643572e+00,1.690435682842e-02,3.382602639419e-02,1.185593752096e-01,5.915634709739e+01,2.956303493489e+01,8.434592357054e+00
7.191292438144e-03,9.185820972307e+01,4.609035905245e-01,6.519613315246e-01,1.220398117042e+00,1.690481096552e-02,3.382468899315e-02,1.185204232620e-01,5.915475789937e+01,2.956420383355e+01,8.437364400814e+00
9.588389917525e-03,9.207866692920e+01,4.609097817173e-01,6.519484432437e-01,1.220197691520e+00,1.690526512404e-02,3.382335168137e-02,1.184814973299e-01,5.915316871180e+01,2.956537274663e+01,8.440136414005e+00
1.198548739691e-02,9.229965322663e+01,4.609159731188e-01,6.519355555684e-01,1.219997366921e+00,1.690571930397e-02,3.382201445886e-02,1.184425973871e-01,5.915157953469e+01,2.956654167410e+01,8.442908396647e+00
1.438258487629e-02,9.252116988517e+01,4.609221647291e-01,6.519226684987e-01,1.219797143157e+00,1.690617350532e-02,3.382067732562e-02,1.184037234072e-01,5.914999036802e+01,2.956771061597e+01,8.445680348762e+00
1.677968235567e-02,9.274321817767e+01,4.609283565483e-01,6.519097820346e-01,1.219597020144e+00,1.690662772810e-02,3.381934028165e-02,1.183648753639e-01,5.914840121179e+01,2.956887957222e+01,8.448452270369e+00
1.917677983505e-02,9.296579938003e+01,4.609345485764e-01,6.518968961762e-01,1.219396997797e+00,1.690708197230e-02,3.381800332696e-02,1.183260532311e-01,5.914681206598e+01,2.957004854284e+01,8.451224161489e+00
2.157387731443e-02,9.318891477123e+01,4.609407408134e-01,6.518840109236e-01,1.219197076029e+00,1.690753623794e-02,3.381666646154e-02,1.182872569825e-01,5.914522293060e+01,2.957121752782e+01,8.453996022142e+00
2.397097479381e-02,9.341256563330e+01,4.609469332594e-01,6.518711262769e-01,1.218997254756e+00,1.690799052500e-02,3.381532968540e-02,1.182484865920e-01,5.914363380564e+01,2.957238652716e+01,8.456767852350e+00
2.636807227319e-02,9.363675325136e+01,4.609531259145e-01,6.518582422360e-01,1.218797533891e+00,1.690844483351e-02,3.381399299854e-02,1.182097420334e-01,5.914204469108e+01,2.957355554084e+01,8.459539652132e+00
2.876516975257e-02,9.386147891361e+01,4.609593187785e-01,6.518453588011e-01,1.218597913351e+00,1.690889916345e-02,3.381265640096e-02,1.181710232808e-01,5.914045558693e+01,2.957472456886e+01,8.462311421508e+00
3.116226723196e-02,9.408674391133e+01,4.609655118517e-01,6.518324759721e-01,1.218398393050e+00,1.690935351484e-02,3.381131989267e-02,1.181323303079e-01,5.913886649317e+01,2.957589361120e+01,8.465083160499e+00
3.355936471134e-02,9.431254953893e+01,4.609717051340e-01,6.518195937493e-01,1.218198972903e+00,1.690980788768e-02,3.380998347367e-02,1.180936630889e-01,5.913727740980e+01,2.957706266786e+01,8.467854869126e+00
3.595646219072e-02,9.453889709390e+01,4.609778986255e-01,6.518067121325e-01,1.217999652825e+00,1.691026228196e-02,3.380864714395e-02,1.180550215977e-01,5.913568833682e+01,2.957823173883e+01,8.470626547408e+00
3.835355967010e-02,9.476578787684e+01,4.609840923262e-01,6.517938311219e-01,1.217800432732e+00,1.691071669770e-02,3.380731090353e-02,1.180164058083e-01,5.913409927420e+01,2.957940082409e+01,8.473398195366e+00
4.075065714948e-02,9.499322319150e+01,4.609902862361e-01,6.517809507175e-01,1.217601312539e+00,1.691117113490e-02,3.380597475239e-02,1.179778156950e-01,5.913251022196e+01,2.958056992364e+01,8.476169813021e+00
4.314775462886e-02,9.522120434473e+01,4.609964803553e-01,6.517680709194e-01,1.217402292161e+00,1.691162559356e-02,3.380463869056e-02,1.179392512317e-01,5.913092118008e+01,2.958173903747e+01,8.478941400391e+00
4.554485210824e-02,9.544973264653e+01,4.610026746839e-01,6.517551917277e-01,1.217203371514e+00,1.691208007369e-02,3.380330271802e-02,1.179007123928e-01,5.912933214855e+01,2.958290816557e+01,8.481712957499e+00
4.794194958762e-02,9.567880941004e+01,4.610088692218e-01,6.517423131423e-01,1.217004550513e+00,1.691253457528e-02,3.380196683478e-02,1.178621991522e-01,5.912774312737e+01,2.958407730792e+01,8.484484484363e+00
5.033904706701e-02,9.590843595155e+01,4.610150639691e-01,6.517294351634e-01,1.216805829076e+00,1.691298909835e-02,3.380063104084e-02,1.178237114844e-01,5.912615411653e+01,2.958524646453e+01,8.487255981004e+00
5.273614454639e-02,9.613861359052e+01,4.610212589259e-01,6.517165577910e-01,1.216607207116e+00,1.691344364289e-02,3.379929533620e-02,1.177852493635e-01,5.912456511602e+01,2.958641563538e+01,8.490027447442e+00
5.513324202577e-02,9.636934364957e+01,4.610274540921e-01,6.517036810251e-01,1.216408684551e+00,1.691389820891e-02,3.379795972087e-02,1.177468127639e-01,5.912297612584e+01,2.958758482046e+01,8.492798883698e+00
5.753033950515e-02,9.660062745449e+01,4.610336494679e-01,6.516908048659e-01,1.216210261296e+00,1.691435279641e-02,3.379662419485e-02,1.177084016598e-01,5.912138714598e+01,2.958875401977e+01,8.495570289791e+00
5.992743698453e-02,9.683246633425e+01,4.610398450532e-01,6.516779293133e-01,1.216011937267e+00,1.691480740539e-02,3.379528875814e-02,1.176700160257e-01,5.911979817643e+01,2.958992323328e+01,8.498341665742e+00
6.232453446391e-02,9.706486162102e+01,4.610460408481e-01,6.516650543674e-01,1.215813712382e+00,1.691526203587e-02,3.379395341074e-02,1.176316558360e-01,5.911820921719e+01,2.959109246101e+01,8.501113011570e+00
6.472163194329e-02,9.729781465016e+01,4.610522368526e-01,6.516521800283e-01,1.215615586556e+00,1.691571668783e-02,3.379261815265e-02,1.175933210651e-01,5.911662026825e+01,2.959226170292e+01,8.503884327296e+00
6.711872942267e-02,9.753132676024e+01,4.610584330669e-01,6.516393062961e-01,1.215417559705e+00,1.691617136130e-02,3.379128298387e-02,1.175550116874e-01,5.911503132960e+01,2.959343095902e+01,8.506655612940e+00
6.951582690206e-02,9.776539929303e+01,4.610646294908e-01,6.516264331707e-01,1.215219631747e+00,1.691662605626e-02,3.378994790442e-02,1.175167276775e-01,5.911344240124e+01,2.959460022930e+01,8.509426868521e+00
7.191292438144e-02,9.800003359354e+01,4.610708261245e-01,6.516135606523e-01,1.215021802597e+00,1.691708077272e-02,3.378861291428e-02,1.174784690100e-01,5.911185348316e+01,2.959576951374e+01,8.512198094060e+00
7.431002186082e-02,9.823523100999e+01,4.610770229679e-01,6.516006887408e-01,1.214824072174e+00,1.691753551069e-02,3.378727801346e-02,1.174402356593e-01,5.911026457535e+01,2.959693881234e+01,8.514969289577e+00
7.670711934020e-02,9.847099289385e+01,4.610832200212e-01,6.515878174364e-01,1.214626440393e+00,1.691799027018e-02,3.378594320196e-02,1.174020276002e-01,5.910867567780e+01,2.959810812509e+01,8.517740455092e+00
7.910421681958e-02,9.870732059982e+01,4.610894172844e-01,6.515749467391e-01,1.214428907171e+00,1.691844505117e-02,3.378460847979e-02,1.173638448072e-01,5.910708679052e+01,2.959927745198e+01,8.520511590624e+00
8.150131429896e-02,9.894421548586e+01,4.610956147574e-01,6.515620766490e-01,1.214231472427e+00,1.691889985368e-02,3.378327384695e-02,1.173256872551e-01,5.910549791348e+01,2.960044679300e+01,8.523282696193e+00
8.389841177834e-02,9.918167891318e+01,4.611018124405e-01,6.515492071661e-01,1.214034136076e+00,1.691935467771e-02,3.378193930343e-02,1.172875549184e-01,5.910390904669e+01,2.960161614814e+01,8.526053771821e+00
8.629550925772e-02,9.941971224628e+01,4.611080103334e-01,6.515363382904e-01,1.213836898036e+00,1.691980952326e-02,3.378060484925e-02,1.172494477721e-01,5.910232019014e+01,2.960278551739e+01,8.528824817525e+00
8.869260673711e-02,9.965831685290e+01,4.611142084364e-01,6.515234700220e-01,1.213639758225e+00,1.692026439034e-02,3.377927048439e-02,1.172113657909e-01,5.910073134383e+01,2.960395490074e+01,8.531595833327e+00
9.108970421649e-02,9.989749410409e+01,4.611204067495e-01,6.515106023611e-01,1.213442716559e+00,1.692071927895e-02,3.377793620887e-02,1.171733089495e-01,5.909914250773e+01,2.960512429819e+01,8.534366819246e+00
9.348680169587e-02,1.001372453742e+02,4.611266052726e-01,6.514977353075e-01,1.213245772957e+00,1.692117418909e-02,3.377660202269e-02,1.171352772229e-01,5.909755368186e+01,2.960629370972e+01,8.537137775301e+00
9.588389917525e-02,1.003775720408e+02,4.611328040059e-01,6.514848688614e-01,1.213048927337e+00,1.692162912077e-02,3.377526792584e-02,1.170972705859e-01,5.909596486620e+01,2.960746313533e+01,8.539908701513e+00
9.828099665463e-02,1.006184754849e+02,4.611390029494e-01,6.514720030228e-01,1.212852179615e+00,1.692208407399e-02,3.377393391833e-02,1.170592890134e-01,5.909437606074e+01,2.960863257500e+01,8.542679597902e+00
1.006780941340e-01,1.008599570907e+02,4.611452021030e-01,6.514591377919e-01,1.212655529710e+00,1.692253904876e-02,3.377260000016e-02,1.170213324805e-01,5.909278726548e+01,2.960980202872e+01,8.545450464487e+00
1.030751916134e-01,1.011020182458e+02,4.611514014669e-01,6.514462731685e-01,1.212458977539e+00,1.692299404507e-02,3.377126617133e-02,1.169834009619e-01,5.909119848041e+01,2.961097149650e+01,8.548221301288e+00
1.054722890928e-01,1.013446603411e+02,4.611576010411e-01,6.514334091528e-01,1.212262523022e+00,1.692344906293e-02,3.376993243185e-02,1.169454944329e-01,5.908960970553e+01,2.961214097831e+01,8.550992108324e+00
1.078693865722e-01,1.015878847708e+02,4.611638008256e-01,6.514205457449e-01,1.212066166075e+00,1.692390410235e-02,3.376859878171e-02,1.169076128684e-01,5.908802094083e+01,2.961331047415e+01,8.553762885616e+00
1.102664840515e-01,1.018316929326e+02,4.611700008205e-01,6.514076829448e-01,1.211869906618e+00,1.692435916332e-02,3.376726522092e-02,1.168697562436e-01,5.908643218630e+01,2.961447998402e+01,8.556533633183e+00
1.126635815309e-01,1.020760862273e+02,4.611762010258e-01,6.513948207525e-01,1.211673744568e+00,1.692481424585e-02,3.376593174948e-02,1.168319245334e-01,5.908484344193e+01,2.961564950789e+01,8.559304351045e+00
1.150606790103e-01,1.023210660592e+02,4.611824014415e-01,6.513819591681e-01,1.211477679844e+00,1.692526934995e-02,3.376459836739e-02,1.167941177132e-01,5.908325470772e+01,2.961681904576e+01,8.562075039221e+00
1.174577764897e-01,1.025666338361e+02,4.611886020677e-01,6.513690981916e-01,1.211281712365e+00,1.692572447562e-02,3.376326507466e-02,1.167563357580e-01,5.908166598366e+01,2.961798859763e+01,8.564845697731e+00
1.198548739691e-01,1.028127909690e+02,4.611948029044e-01,6.513562378232e-01,1.211085842049e+00,1.692617962286e-02,3.376193187127e-02,1.167185786432e-01,5.908007726975e+01,2.961915816348e+01,8.567616326594e+00
1.222519714484e-01,1.030595388723e+02,4.612010039516e-01,6.513433780628e-01,1.210890068814e+00,1.692663479167e-02,3.376059875725e-02,1.166808463438e-01,5.907848856598e+01,2.962032774331e+01,8.570386925831e+00
1.246490689278e-01,1.033068789639e+02,4.612072052095e-01,6.513305189105e-01,1.210694392581e+00,1.692708998206e-02,3.375926573258e-02,1.166431388353e-01,5.907689987233e+01,2.962149733710e+01,8.573157495461e+00
1.270461664072e-01,1.035548126650e+02,4.612134066780e-01,6.513176603663e-01,1.210498813267e+00,1.692754519403e-02,3.375793279727e-02,1.166054560929e-01,5.907531118882e+01,2.962266694485e+01,8.575928035502e+00
1.294432638866e-01,1.038033414002e+02,4.612196083571e-01,6.513048024304e-01,1.210303330791e+00,1.692800042758e-02,3.375659995132e-02,1.165677980921e-01,5.907372251542e+01,2.962383656654e+01,8.578698545976e+00
1.318403613660e-01,1.040524665976e+02,4.612258102469e-01,6.512919451027e-01,1.210107945074e+00,1.692845568273e-02,3.375526719473e-02,1.165301648081e-01,5.907213385213e+01,2.962500620218e+01,8.581469026901e+00
1.342374588453e-01,1.043021896887e+02,4.612320123475e-01,6.512790883833e-01,1.209912656033e+00,1.692891095946e-02,3.375393452750e-02,1.164925562163e-01,5.907054519895e+01,2.962617585174e+01,8.584239478297e+00
1.366345563247e-01,1.045525121085e+02,4.612382146588e-01,6.512662322723e-01,1.209717463588e+00,1.692936625780e-02,3.375260194964e-02,1.164549722924e-01,5.906895655586e+01,2.962734551523e+01,8.587009900183e+00
1.390316538041e-01,1.048034352952e+02,4.612444171810e-01,6.512533767697e-01,1.209522367660e+00,1.692982157772e-02,3.375126946115e-02,1.164174130116e-01,5.906736792287e+01,2.962851519262e+01,8.589780292578e+00
1.414287512835e-01,1.050549606908e+02,4.612506199140e-01,6.512405218756e-01,1.209327368166e+00,1.693027691925e-02,3.374993706203e-02,1.163798783496e-01,5.906577929997e+01,2.962968488392e+01,8.592550655503e+00
1.438258487629e-01,1.053070897405e+02,4.612568228580e-01,6.512276675899e-01,1.209132465027e+00,1.693073228239e-02,3.374860475227e-02,1.163423682818e-01,5.906419068714e+01,2.963085458911e+01,8.595320988976e+00
1.462229462423e-01,1.055598238931e+02,4.612630260128e-01,6.512148139128e-01,1.208937658162e+00,1.693118766713e-02,3.374727253189e-02,1.163048827839e-01,5.906260208438e+01,2.963202430819e+01,8.598091293018e+00
1.486200437216e-01,1.058131646007e+02,4.612692293786e-01,6.512019608444e-01,1.208742947492e+00,1.693164307349e-02,3.374594040088e-02,1.162674218315e-01,5.906101349169e+01,2.963319404114e+01,8.600861567646e+00
1.510171412010e-01,1.060671133192e+02,4.612754329554e-01,6.511891083846e-01,1.208548332935e+00,1.693209850146e-02,3.374460835925e-02,1.162299854002e-01,5.905942490906e+01,2.963436378796e+01,8.603631812882e+00
1.534142386804e-01,1.063216715077e+02,4.612816367433e-01,6.511762565335e-01,1.208353814413e+00,1.693255395105e-02,3.374327640699e-02,1.161925734657e-01,5.905783633649e+01,2.963553354863e+01,8.606402028743e+00
1.558113361598e-01,1.065768406289e+02,4.612878407422e-01,6.511634052912e-01,1.208159391844e+00,1.693300942226e-02,3.374194454411e-02,1.161551860037e-01,5.905624777396e+01,2.963670332316e+01,8.609172215250e+00
1.582084336392e-01,1.068326221491e+02,4.612940449523e-01,6.511505546576e-01,1.207965065150e+00,1.693346491510e-02,3.374061277060e-02,1.161178229899e-01,5.905465922146e+01,2.963787311152e+01,8.611942372421e+00
1.606055311185e-01,1.070890175379e+02,4.613002493735e-01,6.511377046330e-01,1.207770834251e+00,1.693392042957e-02,3.373928108648e-02,1.160804844001e-01,5.905307067900e+01,2.963904291371e+01,8.614712500276e+00
1.630026285979e-01,1.073460282688e+02,4.613064540059e-01,6.511248552173e-01,1.207576699066e+00,1.693437596567e-02,3.373794949174e-02,1.160431702102e-01,5.905148214657e+01,2.964021272973e+01,8.617482598835e+00
1.653997260773e-01,1.076036558184e+02,4.613126588495e-01,6.511120064105e-01,1.207382659516e+00,1.693483152340e-02,3.373661798638e-02,1.160058803959e-01,5.904989362416e+01,2.964138255956e+01,8.620252668115e+00
1.677968235567e-01,1.078619016671e+02,4.613188639044e-01,6.510991582127e-01,1.207188715522e+00,1.693528710278e-02,3.373528657040e-02,1.159686149332e-01,5.904830511176e+01,2.964255240320e+01,8.623022708138e+00
